latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-12.53031663,40.52120663,20.2051,0.6863,"POLYGON((40.5212331736964 -12.5303322865047, 40.5212329881439 -12.5303006470959, 40.5211800806249 -12.5303009465768, 40.5211802661709 -12.5303325859864, 40.5212331736964 -12.5303322865047))",5HV2FG9C+VFG8
-12.53103941,40.48518988,11.6078,0.6980,"POLYGON((40.4852174803142 -12.5310367362882, 40.4851668572802 -12.5310241792456, 40.4851622675788 -12.5310420385319, 40.4852128906161 -12.531054595575, 40.4852174803142 -12.5310367362882))",5HV2FF9P+H3PC
-12.53136609,40.48548674,42.1031,0.8312,"POLYGON((40.4855307351097 -12.5313672527643, 40.485470188104 -12.5313260187401, 40.4854427310792 -12.5313649329527, 40.4855032780908 -12.5314061669823, 40.4855307351097 -12.5313672527643))",5HV2FF9P+F558
-12.52998554,40.52188804,16.0299,0.7107,"POLYGON((40.5219091173355 -12.5300018122043, 40.5218964729119 -12.5299605513743, 40.5218669604029 -12.5299692808815, 40.5218796048224 -12.5300105417135, 40.5219091173355 -12.5300018122043))",5HV2FGCC+2Q2F
-12.53197850,40.48604700,26.6885,0.7770,"POLYGON((40.486083091569 -12.5319815282304, 40.4860310883846 -12.5319465189257, 40.4860109072492 -12.5319754528803, 40.486062910437 -12.5320104621886, 40.486083091569 -12.5319815282304))",5HV2FF9P+6C3W
-12.53158929,40.48511945,17.1484,0.6922,"POLYGON((40.4851446567928 -12.5315793698747, 40.4851045670734 -12.5315669710024, 40.4850942350819 -12.5315992152253, 40.4851343248063 -12.5316116140984, 40.4851446567928 -12.5315793698747))",5HV2FF9P+929H
-12.49639901,40.47405231,39.6231,0.8128,"POLYGON((40.4740674308928 -12.4964367512468, 40.474086969403 -12.4963769843664, 40.4740371862378 -12.4963612716753, 40.4740176477165 -12.4964210385537, 40.4740674308928 -12.4964367512468))",5HV2GF3F+CJV4
-12.53026067,40.52107838,32.0063,0.7037,"POLYGON((40.5211133555596 -12.5302771731793, 40.5211089452368 -12.5302371799052, 40.5210434094498 -12.5302441555296, 40.5210478197629 -12.5302841488059, 40.5211133555596 -12.5302771731793))",5HV2FG9C+VCWG
-12.53186455,40.48571295,15.0335,0.7169,"POLYGON((40.48569665599 -12.5318444099681, 40.4856877766628 -12.5318716402527, 40.4857292604921 -12.5318846966329, 40.4857381398149 -12.5318574663477, 40.48569665599 -12.5318444099681))",5HV2FF9P+774H
-12.49628492,40.47420264,25.2706,0.7310,"POLYGON((40.4742347356713 -12.4962761118552, 40.4741849578229 -12.4962571517661, 40.4741705337865 -12.4962937129202, 40.4742203116416 -12.4963126730113, 40.4742347356713 -12.4962761118552))",5HV2GF3F+FMPM
-12.49645764,40.47363033,35.4492,0.6561,"POLYGON((40.4736447827827 -12.4964985183672, 40.4736531664097 -12.4964206248908, 40.4736158829177 -12.4964167506674, 40.4736074992795 -12.4964946441439, 40.4736447827827 -12.4964985183672))",5HV2GF3F+CF6J
-12.53207492,40.48601846,16.2402,0.7232,"POLYGON((40.4860168674198 -12.5320479866731, 40.4859928926488 -12.5320650930765, 40.4860200543016 -12.5321018354693, 40.4860440290736 -12.5320847290633, 40.4860168674198 -12.5320479866731))",5HV2FF9P+5CC4
-12.53142889,40.48505747,28.4931,0.7961,"POLYGON((40.4850644787993 -12.5314700376427, 40.4850801436124 -12.5313936196765, 40.4850504558447 -12.5313877457957, 40.485034791023 -12.531464163761, 40.4850644787993 -12.5314700376427))",5HV2FF9P+C2FX
-12.53170167,40.48490356,60.2409,0.8864,"POLYGON((40.4849314255109 -12.5317467196194, 40.4849309079504 -12.5316563198057, 40.4848756988925 -12.5316566248838, 40.4848762164337 -12.5317470246998, 40.4849314255109 -12.5317467196194))",5HV2FF9M+8X6X
